Lake,Area_km2,Length_km,MaxDepth_m
"Superior, U.S.-Canada",82414,616,1200
"Victoria, Tanzania-Uganda",69485,322,82
"Huron, U.S.-Canada",59596,397,229
"Michigan, U.S.",58016,517,281
"Aral, Kazakhstan-Uzbekistan",33800,428,68
"Tanganyika, Tanzania-Congo",32893,676,1435
"Baikal, Russia",31500,636,1741
"Great Bear, Canada",31080,373,82
"Nyasa, Malawi",30044,579,706
"Great Slave, Canada",28930,480,614
"Erie, U.S.-Canada",25719,388,64
"Winnipeg, Canada",23553,425,62
"Ontario, U.S.-Canada",19477,311,237
"Balkhash, Kazakhstan",18428,605,27
"Ladoga, Russia",18130,200,225
"Onega, Russia",9891,248,110
"Titicaca, Bolivia-Peru",8135,177,370
"Nicaragua, Nicaragua",8001,177,70
"Athabaska, Canada",7920,335,124
"Issyk-Kul, Kyrgyzstan",6200,182,100
"Urmia, Iran",6001,130,15
"Vänern, Sweden",5545,140,98
"Winnipegosis, Canada",5403,245,18
"Mobutu Sese Seko, Uganda",5299,161,55
"Manitoba, Canada",4706,225,7
"Great Salt, U.S.",4662,121,8
"Kioga, Uganda",4403,80,9
